ZONA_CIUDAD,LATITUD_CENTROIDE,LONGITUD_CENTROIDE
0,4.63398086219061,-74.18625983028701
1,4.634905710184689,-74.09207484922413
2,4.737786239379499,-74.0830935067343
3,4.578144785793069,-74.1069880646177
4,4.687935193807725,-74.07750823344918
5,4.640590962333406,-74.1570466295686
6,4.698048268817915,-74.11010843997242
7,4.750084199604571,-74.05036841766974
8,4.57512639205896,-74.15787375259191
9,4.509013023990856,-74.11502133952744
10,4.660151874864445,-74.1355552249192
11,4.687000186991703,-74.04634314803683
12,4.630131261724656,-74.1199665285223
13,4.617058458810271,-74.08413309409569
14,4.663682212676862,-74.06332919293202
15,4.6111525703385405,-74.13261650186304
16,4.690396661496052,-74.16437569913623
17,4.59808381184198,-74.17874429681302
18,4.733777337236554,-74.097568319068
19,4.664194654639973,-74.11282679090428
20,4.563717747802569,-74.1272249962269
21,4.6073728254039965,-74.09790537459536
22,4.719574933491255,-74.0341609551689
23,4.5912611052487735,-74.07849632318612
24,4.706508350154822,-74.12909332889242
25,4.711509366805909,-74.07338413103518
26,4.622895393109952,-74.15533391269166
27,4.74695638500185,-74.02429039968828
28,4.5707660593504,-74.0833570673359
29,4.644873946856982,-74.06220450227195
30,4.744376431129871,-74.12319119319432
31,4.804757268104963,-74.03811766786417
32,4.598419916974919,-74.1438052523792
33,4.673306320097025,-74.14916927219066
34,4.591905232225237,-74.11482514349818
35,4.707604738818577,-74.05317954899847
36,4.67495180144115,-74.08397708615189
37,4.632146606043357,-74.14459636962972
38,4.537195582886642,-74.08790514475494
39,4.677420014309524,-74.05038712026196
40,4.612002889384722,-74.0705409301009
41,4.697094071279819,-74.0875791044802
42,4.548593836684489,-74.15289676005754
43,4.582757897388285,-74.12426105753521
44,4.762467108576926,-74.02826472547143
45,4.700984677878727,-74.04395192236153
46,4.606266501739401,-74.19505495890188
47,4.63121139186733,-74.10842248338422
48,4.733967126559772,-74.04704500588183
49,4.683147497124844,-74.11730372696042
50,4.7205462827725055,-74.09294553417942
51,4.720631979235398,-74.0518232774062
52,4.648683672431046,-74.08190561147167
53,4.542734111528625,-74.11341461201151
54,4.718605862297739,-74.11788395376857
55,4.6813784348756,-74.09404779903468
56,4.648557053356245,-74.11038512079041
57,4.5966740047144565,-74.1576563500492
58,4.619682848618823,-74.16503941849987
59,4.640603675155016,-74.11908370445869
60,4.5537547691563525,-74.0919142133188
61,4.666925461743453,-74.04643595265972
62,4.578244089699628,-74.13935437209405
