ZONA_CIUDAD,LATITUD_CENTROIDE,LONGITUD_CENTROIDE
0,4.616784145074029,-74.1395854425407
1,4.682372207985149,-74.04846907289863
2,4.694361694051246,-74.11051014832294
3,4.564625906514824,-74.10403813400386
4,4.622714686765667,-74.07046573708101
5,4.73864750569342,-74.06325716624153
6,4.646820169776024,-74.12724213702278
7,4.625598136247432,-74.16699676003466
8,4.580082274041574,-74.1401977738042
9,4.528342207195442,-74.11863648445548
10,4.651350723078898,-74.08399554121128
11,4.751708350784465,-74.0482811024732
12,4.741966305261474,-74.10117534597025
13,4.674805071038275,-74.1420445199714
14,4.601997957249022,-74.10320255445926
15,4.598656451634881,-74.17926001485593
16,4.660956923375126,-74.06676782309188
17,4.694933415436357,-74.04956635524002
18,4.679281813504529,-74.08888976149139
19,4.711778761948741,-74.11998102300358
20,4.5849080938362565,-74.09199723681614
21,4.720203919196611,-74.05320839704973
22,4.6292600130995485,-74.10722465540763
23,4.714161307634239,-74.09578484236778
24,4.547538245098366,-74.1527636214581
25,4.502830827217462,-74.10409630123897
26,4.625307758103367,-74.19125400106837
27,4.647403393875752,-74.0623843363671
28,4.812559964545778,-74.03628659164329
29,4.606215883955749,-74.08309310490505
30,4.6537113588307495,-74.13906470372174
31,4.715827386827916,-74.03265747876709
32,4.628188105551764,-74.08252396098419
33,4.654615284543222,-74.10485506607654
34,4.557549123366292,-74.13881247999096
35,4.680966203396874,-74.15313478882024
36,4.572650830080921,-74.12022111216511
37,4.699524663189393,-74.12865196176669
38,4.63286845994996,-74.13213922069764
39,4.692320772966178,-74.0574280466226
40,4.598958380286183,-74.13065934361032
41,4.588524682766513,-74.16580473275451
42,4.735106793131005,-74.02588084456754
43,4.753862394689522,-74.08059036084704
44,4.761344350979257,-74.04348411198089
45,4.6391676184811965,-74.15808396804722
46,4.67136937505313,-74.12419694034017
47,4.613767750438343,-74.07387852207829
48,4.653631635061658,-74.0534017315171
49,4.667239914431737,-74.04589768961695
50,4.53658597982009,-74.08739660008368
51,4.616936864017336,-74.11224468299422
52,4.643959518053996,-74.07733779812835
53,4.591507002250732,-74.11404229301502
